experiment,n,seed,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E1,50,15,plain_dca,FIRST_ORDER,39,0,0,,-1.4999999999999991,6.95424005151332e-11,0.0010222480000260002,0,0.9999999999999991,0.0,3.992211357636957e-15,5.55111512312578e-16,-2.664535259100375e-15
E1,50,15,post_dca,GREEN_POST,67,1,52,39.0,-2.5,9.013290549054291e-11,0.013892660999999001,1,-8.881784197001252e-16,0.0,3.992211357636957e-15,5.55111512312578e-16,-2.664535259100375e-15
E1,50,15,cold_cc_dca,GREEN,63,1,33,17.0,-2.4999999990065263,6.303880756973065e-05,0.006188389000044,1,9.934728595339948e-10,0.0,3.992211357636957e-15,5.55111512312578e-16,-2.664535259100375e-15
E1,50,15,persistent_cc_dca,GREEN,63,1,29,17.0,-2.4999999990065263,6.303880756973065e-05,0.005856259999973,1,9.934728595339948e-10,0.0,3.992211357636957e-15,5.55111512312578e-16,-2.664535259100375e-15
E1,50,16,plain_dca,FIRST_ORDER,39,0,0,,-1.5,6.95481833582794e-11,0.0010138459999780001,0,0.9999999999999981,0.0,3.752344418816882e-15,5.551115123125783e-16,0.0
E1,50,16,post_dca,GREEN_POST,67,1,52,39.0,-2.5,9.013173440395693e-11,0.013541962999852001,1,-8.881784197001252e-16,0.0,3.752344418816882e-15,5.551115123125783e-16,0.0
E1,50,16,cold_cc_dca,GREEN,63,1,32,17.0,-2.499999998998703,6.328651852359993e-05,0.006093426999996001,1,1.001295935054713e-09,0.0,3.752344418816882e-15,5.551115123125783e-16,0.0
E1,50,16,persistent_cc_dca,GREEN,63,1,29,17.0,-2.499999998998703,6.328651852359993e-05,0.0058624499999950005,1,1.001295935054713e-09,0.0,3.752344418816882e-15,5.551115123125783e-16,0.0
E1,50,17,plain_dca,FIRST_ORDER,39,0,0,,-1.4999999999999991,6.957485545649199e-11,0.001016960000015,0,0.9999999999999981,0.0,2.545605482153972e-15,1.1102230246251561e-15,-1.77635683940025e-15
E1,50,17,post_dca,GREEN_POST,67,1,52,39.0,-2.499999999999999,9.013288835910717e-11,0.013484065000056,1,-1.332267629550187e-15,0.0,2.545605482153972e-15,1.1102230246251561e-15,-1.77635683940025e-15
E1,50,17,cold_cc_dca,GREEN,62,1,32,17.0,-2.499999999312071,5.245679066358265e-05,0.008701750999989,1,6.87926604570066e-10,0.0,2.545605482153972e-15,1.1102230246251561e-15,-1.77635683940025e-15
E1,50,17,persistent_cc_dca,GREEN,62,1,29,17.0,-2.499999999312071,5.245679066358265e-05,0.00626959200008,1,6.87926604570066e-10,0.0,2.545605482153972e-15,1.1102230246251561e-15,-1.77635683940025e-15
E1,50,18,plain_dca,FIRST_ORDER,39,0,0,,-1.4999999999999991,6.954814245408414e-11,0.001101916999914,0,1.000000000000002,2.220446049250313e-16,6.6234283948559445e-15,1.1102230246251552e-15,-3.552713678800501e-15
