experiment,n,seed,eta,S,threshold,theorem_hypothesis,case,alignment,decrease,predicted_delta,R_dec
E2,200,17,0.0009000000000000001,0.0017999992709990002,0.0018518488518530002,True,III-hard,0.0008999999999990001,0.000669766483272,1.157404594909681e-05,57.86796477379857
E2,200,18,0.0,6.500129661518524e-15,0.0018518518518510002,True,III-hard,2.82340342619945e-16,0.0006248047332710001,1.1574074074074162e-05,53.98312895467924
E2,200,18,1e-06,2.000000000416994e-06,0.0018518518518480002,True,III-hard,1.000000000298854e-06,0.000624854694221,1.157407407403944e-05,53.98744558092498
E2,200,18,1e-05,1.999999999938129e-05,0.0018518518514810001,True,III-hard,1.0000000000294521e-05,0.000625304342431,1.1574074070601931e-05,54.02629520225732
E2,200,18,0.0001,0.00019999999900000001,0.0018518518148140002,True,III-hard,0.0001,0.0006298007910360001,1.1574073726851931e-05,54.414789977984924
E2,200,18,0.0005,0.000999999875,0.001851850925926,True,III-hard,0.0005,0.000649784260666,1.1574065393520781e-05,56.14140222759057
E2,200,18,0.0009000000000000001,0.001799999271,0.0018518488518530002,True,III-hard,0.0009000000000000001,0.000669766483277,1.157404594909693e-05,57.86796477420083
E2,200,19,0.0,7.218483972529695e-15,0.0018518518518510002,True,III-hard,1.53881049792339e-16,0.000624804733273,1.157407407407427e-05,53.9831289548514
E2,200,19,1e-06,1.9999999996430602e-06,0.0018518518518480002,True,III-hard,9.999999998541193e-07,0.000624854694224,1.157407407403956e-05,53.98744558119301
E2,200,19,1e-05,1.999999999877097e-05,0.0018518518514810001,True,III-hard,9.99999999984845e-06,0.0006253043424330001,1.1574074070602062e-05,54.02629520246774
E2,200,19,0.0001,0.00019999999899900003,0.0018518518148140002,True,III-hard,9.999999999984843e-05,0.0006298007910390001,1.1574073726852082e-05,54.41478997825282
E2,200,19,0.0005,0.000999999874999,0.001851850925926,True,III-hard,0.000499999999999,0.0006497842606670001,1.1574065393520881e-05,56.14140222770516
E2,200,19,0.0009000000000000001,0.0017999992709990002,0.0018518488518530002,True,III-hard,0.0008999999999990001,0.00066976648328,1.1574045949097071e-05,57.8679647744879
