experiment,axis,value,n,seed,negfrac,bscale,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E5,generic,0.0,400,2,0.25,0.5,persistent_cc_dca,GREEN,2831,0,128,,-2.5584763388618743,9.642453496777546e-07,0.582207379999999,5,8.947509400059062e-12,0.0,7.814671720916044e-15,1.9271136788630482e-13,0.016733205796652002
E5,gap,0.1,200,3,,,persistent_cc_dca,GREEN,1655,1,123,16.0,-2.499999999994933,1.006693444194669e-06,0.22641645099974902,5,,,,,
E5,gap,0.25,200,3,,,persistent_cc_dca,GREEN,669,1,123,15.0,-2.499999999997978,1.005607379147685e-06,0.20178493200000902,5,,,,,
E5,gap,0.5,200,3,,,persistent_cc_dca,GREEN,340,1,123,14.0,-2.499999999999015,9.925767446907403e-07,0.192328420000194,5,,,,,
E5,gap,1.0,200,3,,,persistent_cc_dca,GREEN,144,1,123,13.0,-2.499999999999554,9.451130083871478e-07,0.174981664999904,5,,,,,
E5,gap,2.0,200,3,,,persistent_cc_dca,GREEN,67,1,123,15.0,-2.499999999999795,9.040849907857416e-07,0.16923154799997,5,,,,,
E5,multiplicity,1.0,200,3,,,persistent_cc_dca,GREEN,67,1,123,15.0,-2.499999999999795,9.040849907857416e-07,0.15218809799989602,5,,,,,
E5,multiplicity,2.0,200,3,,,persistent_cc_dca,GREEN,77,1,123,15.0,-2.4999999999998392,8.024673854950713e-07,0.17213867999998902,5,,,,,
E5,multiplicity,4.0,200,3,,,persistent_cc_dca,GREEN,93,1,123,15.0,-2.499999999999778,9.410140499704196e-07,0.17127212600007602,5,,,,,
E5,multiplicity,8.0,200,3,,,persistent_cc_dca,GREEN,81,1,123,15.0,-2.499999999999743,1.0120193276803599e-06,0.19050417199969102,5,,,,,
E5,multiplicity,16.0,200,3,,,persistent_cc_dca,GREEN,85,1,123,14.0,-2.49999999999981,8.708287932999845e-07,0.14529864899986902,5,,,,,
E5,extra_negative,0.0,200,3,,,persistent_cc_dca,GREEN,67,1,123,15.0,-2.499999999999795,9.040849907857416e-07,0.175311796000187,5,,,,,
E5,extra_negative,2.0,200,3,,,persistent_cc_dca,GREEN,78,1,123,15.0,-2.4999999999998153,8.570746292657371e-07,0.173845571000128,5,,,,,
E5,extra_negative,5.0,200,3,,,persistent_cc_dca,GREEN,79,1,123,15.0,-2.4999999999998233,8.411849614956481e-07,0.17934480600024402,5,,,,,
E5,extra_negative,10.0,200,3,,,persistent_cc_dca,GREEN,78,1,123,14.0,-2.499999999999742,1.016011668719097e-06,0.151799674999892,5,,,,,
E5,extra_negative,20.0,200,3,,,persistent_cc_dca,GREEN,78,1,123,13.0,-2.499999999999742,1.014498223945452e-06,0.179294881000259,5,,,,,
E5,dimension,100.0,100,3,,,persistent_cc_dca,GREEN,80,1,100,15.0,-2.499999999999819,8.530400712867814e-07,0.087628193999989,5,,,,,
E5,dimension,200.0,200,3,,,persistent_cc_dca,GREEN,67,1,123,15.0,-2.499999999999795,9.040849907857416e-07,0.17238183400013402,5,,,,,
E5,dimension,400.0,400,3,,,persistent_cc_dca,GREEN,62,1,128,15.0,-2.4999999999998392,8.033157352209846e-07,0.22327144199971302,5,,,,,
E5,dimension,800.0,800,3,,,persistent_cc_dca,GREEN,80,1,132,15.0,-2.499999999999817,8.559294570207915e-07,0.324314930000127,5,,,,,
E5,generic,0.0,100,3,0.1,0.1,persistent_cc_dca,GREEN,157,0,100,,-2.503195935702169,9.883132168637335e-07,0.08662334299970001,5,-4.407980647158638e-10,0.0,7.508411339765483e-15,4.417192195779447e-10,0.0024115579580170003
E5,generic,0.0,100,3,0.1,0.5,persistent_cc_dca,GREEN,174,0,100,,-2.5316218951310763,9.203897743594135e-07,0.09083923200023401,5,5.102585021177218e-13,0.0,7.235569309238017e-15,2.760030320068791e-13,0.012125613303661001
E5,generic,0.0,100,3,0.25,0.1,persistent_cc_dca,GREEN,330,0,100,,-2.503559867661326,1.005553933125244e-06,0.09637284400014301,5,-4.742832793169782e-10,0.0,4.6031563447602505e-15,4.768049569319861e-10,0.0024137472870160003
E5,generic,0.0,100,3,0.25,0.5,persistent_cc_dca,GREEN,323,0,100,,-2.540505543350169,9.696790336230464e-07,0.09491381999987401,5,-3.362199407774824e-12,0.0,4.9222044233618674e-15,5.661701037457061e-12,0.012391327417882
E5,generic,0.0,200,3,0.1,0.1,persistent_cc_dca,GREEN,477,0,123,,-2.485851894204286,9.8502496089368e-07,0.189673328000026,5,0.029909163199931,2.5091040356528528e-14,5.511443915230264e-15,1.258306796613949e-13,0.014964619777296
E5,generic,0.0,200,3,0.1,0.5,persistent_cc_dca,GREEN,925,1,123,649.0,-2.5943945711293352,9.440378588879099e-07,0.21358850499973403,5,1.375344282905644e-12,2.220446049250313e-16,5.4919137247521966e-15,1.1269417805644132e-15,0.075294583018136
E5,generic,0.0,200,3,0.25,0.1,persistent_cc_dca,GREEN,1260,0,123,,-2.486271310799785,1.0000415311167e-06,0.264114530999904,5,0.029863688698158003,0.0,8.008804416529516e-15,2.5611644883794832e-14,0.014982363261037001
E5,generic,0.0,200,3,0.25,0.5,persistent_cc_dca,GREEN,1541,0,123,,-2.60244642562528,9.525606111457024e-07,0.229124460000093,5,1.918776248999165e-11,3.258948666484684e-12,8.34419235314738e-15,1.654411903702258e-11,0.076520292315054
E5,generic,0.0,400,3,0.1,0.1,persistent_cc_dca,GREEN,861,0,128,,-2.501924578576889,9.937035450604777e-07,0.30896361099985303,5,3.496758438359393e-12,0.0,7.218609226152415e-15,5.263535090160427e-13,0.001024192130385
